model,image,threshold,tp,fp,fn,gt_pixels,pred_pixels,instances,iou,seconds
packaged,CRACK500_20160330_165644_641_1081.jpg,0.1,805,284,1839,2644,1089,1,0.274931693989071,0.060871875000884756
packaged,CRACK500_20160330_165644_641_1081.jpg,0.25,805,284,1839,2644,1089,1,0.274931693989071,0.060871875000884756
packaged,CRACK500_20160330_165644_641_1081.jpg,0.5,0,0,2644,2644,0,0,0.0,0.060871875000884756
packaged,CRACK500_20160330_170014_641_721.jpg,0.1,539,1905,1294,1833,2444,2,0.1441947565543071,0.0598665829966194
packaged,CRACK500_20160330_170014_641_721.jpg,0.25,539,1905,1294,1833,2444,2,0.1441947565543071,0.0598665829966194
packaged,CRACK500_20160330_170014_641_721.jpg,0.5,539,1905,1294,1833,2444,2,0.1441947565543071,0.0598665829966194
packaged,CRACK500_20160330_170308_1921_361.jpg,0.1,14264,505,3412,17676,14769,1,0.7845553049887245,0.061137457996665034
packaged,CRACK500_20160330_170308_1921_361.jpg,0.25,14264,505,3412,17676,14769,1,0.7845553049887245,0.061137457996665034
packaged,CRACK500_20160330_170308_1921_361.jpg,0.5,14264,505,3412,17676,14769,1,0.7845553049887245,0.061137457996665034
packaged,CRACK500_20160402_150110_1281_361.jpg,0.1,4765,655,544,5309,5420,1,0.7989604292421194,0.06088608400023077
packaged,CRACK500_20160402_150110_1281_361.jpg,0.25,4765,655,544,5309,5420,1,0.7989604292421194,0.06088608400023077
packaged,CRACK500_20160402_150110_1281_361.jpg,0.5,4765,655,544,5309,5420,1,0.7989604292421194,0.06088608400023077
packaged,CRACK500_20160402_150300_1281_721.jpg,0.1,11407,2478,2178,13585,13885,1,0.7101413185581772,0.06072354199568508
packaged,CRACK500_20160402_150300_1281_721.jpg,0.25,11407,2478,2178,13585,13885,1,0.7101413185581772,0.06072354199568508
packaged,CRACK500_20160402_150300_1281_721.jpg,0.5,11407,2478,2178,13585,13885,1,0.7101413185581772,0.06072354199568508
packaged,CRACK500_20160402_151054_1281_361.jpg,0.1,5026,845,12,5038,5871,1,0.8543260241373449,0.05933220899896696
packaged,CRACK500_20160402_151054_1281_361.jpg,0.25,5026,845,12,5038,5871,1,0.8543260241373449,0.05933220899896696
